Institution,City,State,Score,Rank
Indian Institute of Technology Madras,Chennai,TamilNadu,87.59,1
Indian Institute of Science,Bengaluru,Karnataka,83.57,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.35,3
Indian Institute of Technology Delhi,Delhi,Delhi,82.22,4
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.83,5
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.94,6
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.48,7
Indian Institute of Technology Guwahati,Guwahati,Assam,69.75,8
"All India Institute of Medical Sciences, Delhi",Delhi,Delhi,69.57,9
Jawaharlal Nehru University,Delhi,Delhi,67.25,10
Banaras Hindu University,Banaras,Uttar Pradesh,64.81,11
Jadavpur University,Kolkata,West Bengal,63.85,12
"Jamia Millia Islamia,New Delhi",Delhi,Delhi,63.62,13
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,62.86,14
Calcutta University,Kolkata,West Bengal,61.57,15
